,start_date,end_date,pollster,sponsor,sample_size,population,party,subject,tracking,text,very,somewhat,not_very,not_at_all,url,Unnamed: 0,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,Unnamed: 8,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,Unnamed: 12,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Unnamed: 18,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Unnamed: 21,# of Polls for Bias Analysis,Bias,House Effect,Unnamed: 25,Average Distance from Polling Average (ADPA),Herding Penalty,Latest Poll,Unnamed: 29
0,2020-01-27,2020-01-29,Morning Consult,,2202,a,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,19.0,33.0,23.0,11.0,https://morningconsult.com/wp-content/uploads/2020/02/200167_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
1,2020-01-31,2020-02-02,Morning Consult,,2202,a,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,26.0,32.0,25.0,7.0,https://morningconsult.com/wp-content/uploads/2020/02/200191_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
2,2020-02-07,2020-02-09,Morning Consult,,2200,a,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,23.0,32.0,24.0,9.0,https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
3,2020-02-24,2020-02-26,Morning Consult,,2200,a,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,32.0,37.0,18.0,6.0,https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_Adults_v2_JB.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
4,2020-02-24,2020-02-26,Morning Consult,,1994,rv,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,32.0,39.0,17.0,5.0,https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_RVs_v2_JB.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
5,2020-02-28,2020-03-01,Morning Consult,,2201,a,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,38.0,33.0,13.0,5.0,https://morningconsult.com/wp-content/uploads/2020/03/200271_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
6,2020-03-03,2020-03-05,Morning Consult,,1990,rv,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,38.0,37.0,12.0,5.0,https://morningconsult.com/wp-content/uploads/2020/03/200311_crosstabs_CORONAVIRUS_RVs_v3_YW.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
7,2020-03-06,2020-03-09,Morning Consult,,2200,a,all,concern-economy,False,How concerned are you that the coronavirus will impact the following? U.S. economy,35.0,36.0,14.0,4.0,https://morningconsult.com/wp-content/uploads/2020/03/200326_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
8,2020-03-12,2020-03-13,Morning Consult,,2201,a,all,concern-economy,False,"In light of coronavirus, how concerned are you about each of the following? An economic recession in the U.S.",36.0,34.0,13.0,8.0,https://morningconsult.com/wp-content/uploads/2020/03/200344_crosstabs_CORONAVIRUS_ADULTS_Adults_v3_JB.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
9,2020-03-12,2020-03-13,Morning Consult,,2201,a,all,concern-infected,False,"In light of coronavirus, how concerned are you about each of the following? Contracting coronavirus myself",26.0,30.0,23.0,15.0,https://morningconsult.com/wp-content/uploads/2020/03/200344_crosstabs_CORONAVIRUS_ADULTS_Adults_v3_JB.pdf,346,218,12,no,no,Online,no,,1.01381551618416,B/C,0.217257603757761,,0.75,0.25,3.00390561421712,3.53997958876301,-0.348676992834145,,0.208115493092586,0.0718462745698665,,12,0.629325230916341,-0.563198030118677,,3.51343575618755,0.0,2018-11-03,
